ivig_8	TemPhD_cluster_49126	72.946	49829	42935	499	6.51e-33
ivig_378	TemPhD_cluster_42418	96.945	34902	39940	1342	0.0
ivig_378	TemPhD_cluster_42418	91.376	34902	39940	1090	0.0
ivig_378	TemPhD_cluster_42418	93.277	34902	39940	357	8.39e-145
ivig_444	uvig_294257	99.857	27421	32072	18226	0.0
ivig_444	uvig_294257	90.475	27421	32072	5785	0.0
ivig_444	uvig_294257	90.323	27421	32072	713	0.0
ivig_445	uvig_554656	99.187	70022	65018	10949	0.0
ivig_445	uvig_554656	94.152	70022	65018	4292	0.0
ivig_445	uvig_554656	98.811	70022	65018	1766	0.0
ivig_445	uvig_554656	99.369	70022	65018	1109	0.0
ivig_445	uvig_554656	93.625	70022	65018	753	0.0
ivig_445	uvig_554656	93.023	70022	65018	86	7.17e-24
ivig_445	uvig_554656	91.860	70022	65018	86	3.34e-22
ivig_445	uvig_554656	98.148	70022	65018	54	5.62e-15
ivig_540	uvig_354499	90.654	39362	34867	535	0.0
ivig_540	uvig_354499	85.990	39362	34867	207	1.39e-53
ivig_540	uvig_354499	78.469	39362	34867	209	6.70e-27
ivig_609	ivig_2453	71.326	37631	40041	2089	1.22e-113
ivig_609	ivig_2453	72.917	37631	40041	624	1.04e-44
ivig_609	ivig_2453	80.000	37631	40041	250	6.27e-42
ivig_655	uvig_238257	90.376	35949	38744	5715	0.0
ivig_655	uvig_238257	94.044	35949	38744	1125	0.0
ivig_655	uvig_238257	89.160	35949	38744	1107	0.0
ivig_655	uvig_238257	88.283	35949	38744	623	0.0
ivig_655	uvig_238257	86.615	35949	38744	650	0.0
ivig_655	uvig_238257	86.774	35949	38744	620	0.0
ivig_655	uvig_238257	96.000	35949	38744	375	8.34e-170
ivig_655	uvig_238257	91.848	35949	38744	368	2.42e-140
ivig_655	uvig_238257	94.161	35949	38744	137	9.88e-50
ivig_947	uvig_144311	92.220	18241	47195	5154	0.0
ivig_947	uvig_144311	87.015	18241	47195	824	0.0
ivig_947	uvig_144311	82.726	18241	47195	521	9.75e-122
ivig_947	uvig_144311	80.044	18241	47195	451	7.98e-83
ivig_947	uvig_144311	88.095	18241	47195	84	4.07e-16
ivig_1026	uvig_484945	84.126	39786	25424	5172	0.0
ivig_1026	uvig_484945	88.710	39786	25424	124	6.72e-32
ivig_1026	uvig_484945	87.255	39786	25424	102	6.82e-22
ivig_1026	uvig_484945	84.762	39786	25424	105	1.48e-18
ivig_1164	uvig_310670	96.540	63887	49116	9567	0.0
ivig_1164	uvig_310670	98.317	63887	49116	5765	0.0
ivig_1164	uvig_310670	97.451	63887	49116	4551	0.0
ivig_1164	uvig_310670	95.612	63887	49116	3692	0.0
ivig_1164	uvig_310670	95.572	63887	49116	3681	0.0
ivig_1164	uvig_310670	97.544	63887	49116	3380	0.0
ivig_1164	uvig_310670	90.318	63887	49116	1952	0.0
ivig_1164	uvig_310670	93.424	63887	49116	958	0.0
ivig_1164	uvig_310670	83.878	63887	49116	887	0.0
ivig_1164	uvig_310670	90.123	63887	49116	405	4.30e-140
ivig_1164	uvig_310670	100.000	63887	49116	38	8.65e-08
ivig_1185	uvig_109477	82.937	43586	49780	1764	0.0
ivig_1241	uvig_354499	85.833	35705	34867	240	4.47e-63
ivig_1254	ivig_2453	77.169	38104	40041	219	3.90e-24
ivig_1319	uvig_484945	84.101	41068	25424	5170	0.0
ivig_1319	uvig_484945	92.742	41068	25424	124	8.85e-41
ivig_1319	uvig_484945	91.489	41068	25424	94	3.25e-25
ivig_1319	uvig_484945	84.762	41068	25424	105	1.52e-18
ivig_1320	uvig_502487	92.411	10073	44353	896	0.0
ivig_1427	TemPhD_cluster_34441	97.541	44021	69656	26804	0.0
ivig_1427	TemPhD_cluster_34441	95.245	44021	69656	2818	0.0
ivig_1427	TemPhD_cluster_34441	89.781	44021	69656	2143	0.0
ivig_1427	TemPhD_cluster_34441	84.878	44021	69656	615	6.10e-172
ivig_1427	TemPhD_cluster_34441	89.176	44021	69656	425	1.06e-144
ivig_1427	TemPhD_cluster_34441	88.475	44021	69656	295	1.90e-92
ivig_1428	TemPhD_cluster_32487	99.145	44033	41018	23271	0.0
ivig_1428	TemPhD_cluster_32487	98.023	44033	41018	4604	0.0
ivig_1428	TemPhD_cluster_32487	97.852	44033	41018	1676	0.0
ivig_1428	TemPhD_cluster_32487	92.906	44033	41018	1917	0.0
ivig_1428	TemPhD_cluster_32487	97.796	44033	41018	1225	0.0
ivig_1428	TemPhD_cluster_32487	98.618	44033	41018	217	1.87e-102
ivig_1428	TemPhD_cluster_32487	92.035	44033	41018	226	1.93e-82
ivig_1429	TemPhD_cluster_58809	99.842	67444	49936	49851	0.0
ivig_1429	TemPhD_cluster_58809	94.444	67444	49936	72	5.38e-20
ivig_1435	ivig_1618	99.648	61552	48660	21579	0.0
ivig_1435	ivig_1618	96.186	61552	48660	5401	0.0
ivig_1435	ivig_1618	96.610	61552	48660	885	0.0
ivig_1438	ivig_2453	74.224	39304	40041	2739	0.0
ivig_1438	ivig_2453	80.121	39304	40041	825	1.53e-167
ivig_1438	ivig_2453	76.016	39304	40041	984	5.76e-132
ivig_1438	ivig_2453	79.070	39304	40041	215	1.11e-29
ivig_1467	uvig_522282	94.493	19982	36624	12094	0.0
ivig_1467	uvig_522282	96.933	19982	36624	3749	0.0
ivig_1467	uvig_522282	95.091	19982	36624	550	0.0
ivig_1467	uvig_522282	89.706	19982	36624	272	1.11e-91
ivig_1467	uvig_522282	90.964	19982	36624	166	2.54e-53
ivig_1647	uvig_181691	85.027	22867	69468	2785	0.0
ivig_1647	uvig_181691	85.166	22867	69468	782	0.0
ivig_1647	uvig_181691	89.143	22867	69468	525	0.0
ivig_1647	uvig_181691	80.580	22867	69468	345	2.21e-64
ivig_1648	ivig_941	82.438	18738	59946	1173	0.0
ivig_1663	uvig_236787	97.484	38316	40934	8626	0.0
ivig_1663	uvig_236787	94.323	38316	40934	229	1.65e-92
ivig_1663	uvig_236787	95.062	38316	40934	81	3.03e-25
ivig_1663	uvig_236787	95.588	38316	40934	68	3.95e-19
ivig_1663	uvig_236787	83.838	38316	40934	99	3.98e-14
ivig_1663	uvig_236787	93.478	38316	40934	46	1.86e-07
ivig_1691	uvig_66544	86.920	45331	61844	237	7.29e-67
ivig_1732	uvig_27855	97.192	35821	55220	16486	0.0
ivig_1732	uvig_27855	96.625	35821	55220	3407	0.0
ivig_1732	uvig_27855	97.989	35821	55220	2089	0.0
ivig_1732	uvig_27855	98.008	35821	55220	1305	0.0
ivig_1732	uvig_27855	95.122	35821	55220	902	0.0
ivig_1732	uvig_27855	87.454	35821	55220	813	0.0
ivig_1732	uvig_27855	95.110	35821	55220	409	2.28e-180
ivig_1732	uvig_27855	97.778	35821	55220	45	2.90e-10
ivig_1747	uvig_598394	82.313	44410	34609	441	3.16e-100
ivig_1748	ivig_2453	80.888	40550	40041	811	7.22e-176
ivig_1750	uvig_262668	77.266	24860	48605	629	8.29e-94
ivig_1759	uvig_108334	96.093	24298	46658	23033	0.0
ivig_1759	uvig_108334	87.081	24298	46658	209	1.10e-57
ivig_1760	uvig_481957	98.879	19211	51713	11690	0.0
ivig_1760	uvig_481957	97.590	19211	51713	83	5.43e-30
ivig_1847	uvig_68393	90.184	45404	29048	163	3.47e-50
ivig_1857	uvig_444459	74.850	39211	107093	3010	0.0
ivig_1869	uvig_512890	79.113	26849	57795	1015	0.0
ivig_1870	ivig_2358	78.187	20986	45890	7115	0.0
ivig_1871	uvig_231526	79.730	35410	45097	8362	0.0
ivig_1871	uvig_231526	77.094	35410	45097	5898	0.0
ivig_1871	uvig_231526	87.562	35410	45097	402	1.13e-123
ivig_1871	uvig_231526	81.524	35410	45097	525	3.19e-114
ivig_1871	uvig_231526	85.656	35410	45097	244	4.43e-63
ivig_1871	uvig_231526	84.884	35410	45097	172	4.59e-38
ivig_1874	TemPhD_cluster_55415	75.777	45529	81333	1094	1.42e-143
ivig_1875	uvig_492087	92.099	38973	22330	13213	0.0
ivig_1875	uvig_492087	92.023	38973	22330	2971	0.0
ivig_1875	uvig_492087	95.944	38973	22330	2441	0.0
ivig_1875	uvig_492087	91.383	38973	22330	499	0.0
ivig_1906	uvig_128477	73.423	25267	29653	444	1.97e-35
ivig_1916	uvig_281643	79.942	35285	35994	3121	0.0
ivig_1931	ivig_3376	97.721	65325	60867	41813	0.0
ivig_1931	ivig_3376	97.652	65325	60867	15590	0.0
ivig_1931	ivig_3376	99.899	65325	60867	1986	0.0
ivig_1931	ivig_3376	95.528	65325	60867	1051	0.0
ivig_1931	ivig_3376	98.431	65325	60867	255	3.50e-121
ivig_1931	ivig_3376	79.377	65325	60867	257	1.82e-39
ivig_1931	ivig_3376	80.851	65325	60867	188	8.60e-28
ivig_1992	uvig_249821	87.180	41541	52328	5983	0.0
ivig_1992	uvig_249821	83.892	41541	52328	1552	0.0
ivig_1992	uvig_249821	89.150	41541	52328	341	1.04e-114
ivig_2004	uvig_239071	74.269	35370	23520	1026	5.34e-112
ivig_2016	uvig_234962	94.062	46135	62776	3924	0.0
ivig_2016	uvig_234962	85.187	46135	62776	3416	0.0
ivig_2016	uvig_234962	89.879	46135	62776	1729	0.0
ivig_2016	uvig_234962	85.675	46135	62776	1473	0.0
ivig_2016	uvig_234962	93.525	46135	62776	417	1.37e-173
ivig_2016	uvig_234962	88.683	46135	62776	486	1.08e-164
ivig_2016	uvig_234962	88.262	46135	62776	443	3.08e-145
ivig_2016	uvig_234962	89.947	46135	62776	378	5.23e-133
ivig_2016	uvig_234962	78.313	46135	62776	581	2.56e-96
ivig_2016	uvig_234962	79.496	46135	62776	278	9.87e-46
ivig_2030	uvig_290513	99.688	33811	30821	18906	0.0
ivig_2030	uvig_290513	87.075	33811	30821	294	6.84e-86
ivig_2044	uvig_286030	79.404	44801	112865	2821	0.0
ivig_2044	uvig_286030	87.029	44801	112865	478	2.99e-145
ivig_2044	uvig_286030	78.095	44801	112865	210	1.65e-23
ivig_2045	uvig_124787	77.730	41622	24030	9084	0.0
ivig_2081	uvig_199164	96.674	40506	49869	872	0.0
ivig_2108	uvig_528366	72.347	47114	45345	933	7.63e-62
ivig_2122	uvig_450222	75.466	64149	67744	1663	0.0
ivig_2140	ivig_436	99.280	61543	80284	34453	0.0
ivig_2140	ivig_436	99.869	61543	80284	26751	0.0
ivig_2141	uvig_222545	77.033	36462	34797	2939	0.0
ivig_2153	uvig_322453	97.544	58559	67831	4113	0.0
ivig_2153	uvig_322453	90.049	58559	67831	2864	0.0
ivig_2153	uvig_322453	81.303	58559	67831	2380	0.0
ivig_2153	uvig_322453	75.753	58559	67831	2854	0.0
ivig_2153	uvig_322453	84.958	58559	67831	1323	0.0
ivig_2153	uvig_322453	77.546	58559	67831	1296	0.0
ivig_2153	uvig_322453	81.752	58559	67831	685	1.39e-154
ivig_2153	uvig_322453	85.075	58559	67831	402	2.47e-107
ivig_2153	uvig_322453	92.857	58559	67831	168	4.41e-60
ivig_2154	ivig_2899	99.704	114816	123746	73358	0.0
ivig_2154	ivig_2899	99.708	114816	123746	30467	0.0
ivig_2154	ivig_2899	92.694	114816	123746	4955	0.0
ivig_2154	ivig_2899	99.738	114816	123746	3820	0.0
ivig_2154	ivig_2899	88.281	114816	123746	256	1.09e-78
ivig_2155	uvig_189148	88.027	94886	14861	1353	0.0
ivig_2155	uvig_189148	85.285	94886	14861	666	0.0
ivig_2200	uvig_247740	97.898	38928	24090	1094	0.0
ivig_2201	uvig_380771	74.419	45033	65364	1204	6.61e-132
ivig_2202	uvig_451801	89.584	35264	79922	1805	0.0
ivig_2202	uvig_451801	92.568	35264	79922	148	3.49e-49
ivig_2202	uvig_451801	90.071	35264	79922	141	2.11e-41
ivig_2221	uvig_128477	78.152	63841	29653	4330	0.0
ivig_2221	uvig_128477	77.547	63841	29653	4142	0.0
ivig_2221	uvig_128477	100.000	63841	29653	35	4.02e-06
ivig_2238	uvig_86	71.222	41632	77367	1522	5.07e-83
ivig_2238	uvig_86	81.604	41632	77367	212	5.40e-38
ivig_2240	uvig_116393	73.205	36566	36112	4053	0.0
ivig_2240	uvig_116393	74.734	36566	36112	1595	0.0
ivig_2240	uvig_116393	88.000	36566	36112	75	1.77e-12
ivig_2270	TemPhD_cluster_39184	98.513	65102	66045	17557	0.0
ivig_2270	TemPhD_cluster_39184	97.359	65102	66045	16811	0.0
ivig_2270	TemPhD_cluster_39184	96.961	65102	66045	11220	0.0
ivig_2270	TemPhD_cluster_39184	98.777	65102	66045	2862	0.0
ivig_2270	TemPhD_cluster_39184	98.388	65102	66045	2295	0.0
ivig_2270	TemPhD_cluster_39184	93.494	65102	66045	953	0.0
ivig_2270	TemPhD_cluster_39184	96.237	65102	66045	186	7.98e-78
ivig_2270	TemPhD_cluster_39184	87.273	65102	66045	110	8.63e-23
ivig_2270	TemPhD_cluster_39184	90.588	65102	66045	85	1.44e-20
ivig_2270	TemPhD_cluster_39184	89.655	65102	66045	87	6.72e-19
ivig_2270	TemPhD_cluster_39184	86.813	65102	66045	91	3.13e-17
ivig_2270	TemPhD_cluster_39184	86.047	65102	66045	86	6.76e-14
ivig_2270	TemPhD_cluster_39184	86.047	65102	66045	86	6.76e-14
ivig_2270	TemPhD_cluster_39184	98.000	65102	66045	50	8.75e-13
ivig_2270	TemPhD_cluster_39184	95.918	65102	66045	49	1.46e-10
ivig_2271	uvig_146153	97.737	68154	78084	15332	0.0
ivig_2271	uvig_146153	97.149	68154	78084	12240	0.0
ivig_2271	uvig_146153	94.632	68154	78084	8812	0.0
ivig_2271	uvig_146153	96.066	68154	78084	7042	0.0
ivig_2271	uvig_146153	90.841	68154	78084	3745	0.0
ivig_2271	uvig_146153	92.155	68154	78084	2970	0.0
ivig_2271	uvig_146153	92.211	68154	78084	2632	0.0
ivig_2271	uvig_146153	89.238	68154	78084	1784	0.0
ivig_2271	uvig_146153	89.575	68154	78084	1295	0.0
ivig_2271	uvig_146153	96.219	68154	78084	1005	0.0
ivig_2271	uvig_146153	95.389	68154	78084	694	0.0
ivig_2271	uvig_146153	97.746	68154	78084	621	0.0
ivig_2271	uvig_146153	84.701	68154	78084	804	0.0
ivig_2271	uvig_146153	95.635	68154	78084	252	8.01e-108
ivig_2271	uvig_146153	78.713	68154	78084	202	5.40e-25
ivig_2271	uvig_146153	77.108	68154	78084	166	7.08e-14
ivig_2273	ivig_2316	99.122	38128	57341	9680	0.0
ivig_2273	ivig_2316	92.151	38128	57341	3249	0.0
ivig_2273	ivig_2316	94.759	38128	57341	2900	0.0
ivig_2273	ivig_2316	94.259	38128	57341	2874	0.0
ivig_2273	ivig_2316	99.315	38128	57341	2335	0.0
ivig_2273	ivig_2316	91.159	38128	57341	328	2.64e-120
ivig_2273	ivig_2316	92.917	38128	57341	240	2.13e-91
ivig_2273	ivig_2316	95.349	38128	57341	172	1.32e-68
ivig_2311	uvig_151588	99.205	68503	71111	33586	0.0
ivig_2311	uvig_151588	99.181	68503	71111	19658	0.0
ivig_2311	uvig_151588	98.234	68503	71111	7928	0.0
ivig_2311	uvig_151588	94.871	68503	71111	6259	0.0
ivig_2632	ivig_688	99.758	12454	24278	5367	0.0
ivig_2632	ivig_688	97.179	12454	24278	1347	0.0
ivig_2637	TemPhD_cluster_46541	91.422	52506	53832	6493	0.0
ivig_2637	TemPhD_cluster_46541	87.579	52506	53832	6320	0.0
ivig_2637	TemPhD_cluster_46541	91.018	52506	53832	4086	0.0
ivig_2637	TemPhD_cluster_46541	86.595	52506	53832	4625	0.0
ivig_2637	TemPhD_cluster_46541	88.508	52506	53832	3585	0.0
ivig_2637	TemPhD_cluster_46541	93.637	52506	53832	2656	0.0
ivig_2637	TemPhD_cluster_46541	88.929	52506	53832	3053	0.0
ivig_2637	TemPhD_cluster_46541	91.141	52506	53832	2077	0.0
ivig_2637	TemPhD_cluster_46541	85.823	52506	53832	2497	0.0
ivig_2637	TemPhD_cluster_46541	92.267	52506	53832	750	0.0
ivig_2637	TemPhD_cluster_46541	84.117	52506	53832	1064	0.0
ivig_2637	TemPhD_cluster_46541	83.944	52506	53832	1065	0.0
ivig_2637	TemPhD_cluster_46541	94.776	52506	53832	536	0.0
ivig_2637	TemPhD_cluster_46541	87.642	52506	53832	704	0.0
ivig_2637	TemPhD_cluster_46541	83.644	52506	53832	697	0.0
ivig_2637	TemPhD_cluster_46541	85.666	52506	53832	586	2.62e-171
ivig_2637	TemPhD_cluster_46541	83.615	52506	53832	592	2.08e-152
ivig_2637	TemPhD_cluster_46541	83.849	52506	53832	291	3.90e-70
ivig_2637	TemPhD_cluster_46541	91.133	52506	53832	203	5.05e-69
ivig_2637	TemPhD_cluster_46541	89.571	52506	53832	163	5.19e-49
ivig_2637	TemPhD_cluster_46541	83.981	52506	53832	206	1.12e-45
ivig_2637	TemPhD_cluster_46541	88.889	52506	53832	144	4.07e-40
ivig_2638	TemPhD_cluster_38823	96.765	14999	11025	3895	0.0
ivig_2638	TemPhD_cluster_38823	99.899	14999	11025	995	0.0
ivig_2658	TemPhD_cluster_43927	97.620	32333	32427	14624	0.0
ivig_2658	TemPhD_cluster_43927	97.329	32333	32427	4567	0.0
ivig_2658	TemPhD_cluster_43927	96.702	32333	32427	3548	0.0
ivig_2658	TemPhD_cluster_43927	97.840	32333	32427	1852	0.0
ivig_2658	TemPhD_cluster_43927	95.032	32333	32427	926	0.0
ivig_2658	TemPhD_cluster_43927	88.764	32333	32427	356	1.35e-117
ivig_2658	TemPhD_cluster_43927	89.676	32333	32427	339	4.84e-117
ivig_2658	TemPhD_cluster_43927	88.235	32333	32427	102	1.19e-23
ivig_2658	TemPhD_cluster_43927	96.774	32333	32427	62	4.31e-18
ivig_2659	TemPhD_cluster_42404	99.976	39899	39991	25520	0.0
ivig_2659	TemPhD_cluster_42404	99.938	39899	39991	8065	0.0
ivig_2659	TemPhD_cluster_42404	99.950	39899	39991	3997	0.0
ivig_2659	TemPhD_cluster_42404	99.898	39899	39991	1966	0.0
ivig_2841	TemPhD_cluster_29693	90.172	124910	41255	2788	0.0
ivig_2842	TemPhD_cluster_40625	87.386	44992	45966	8895	0.0
ivig_2842	TemPhD_cluster_40625	82.543	44992	45966	2595	0.0
ivig_2842	TemPhD_cluster_40625	84.258	44992	45966	991	0.0
ivig_2842	TemPhD_cluster_40625	80.518	44992	45966	734	1.38e-153
ivig_2842	TemPhD_cluster_40625	91.691	44992	45966	337	1.85e-127
ivig_2842	TemPhD_cluster_40625	80.708	44992	45966	565	4.06e-114
ivig_2842	TemPhD_cluster_40625	83.471	44992	45966	363	2.53e-86
ivig_2953	ivig_2959	91.109	15716	15927	9886	0.0
ivig_2953	ivig_2959	91.339	15716	15927	5392	0.0
ivig_2954	ivig_2959	89.817	13007	15927	12992	0.0
ivig_2958	ivig_2959	90.888	17759	15927	7232	0.0
ivig_2958	ivig_2959	89.695	17759	15927	5939	0.0
ivig_2958	ivig_2959	90.313	17759	15927	2942	0.0
ivig_2958	ivig_2959	93.878	17759	15927	49	1.86e-09
ivig_2962	ivig_2959	91.670	15314	15927	15150	0.0
ivig_3021	uvig_297309	86.982	22813	40856	9395	0.0
ivig_3021	uvig_297309	88.513	22813	40856	4701	0.0
ivig_3021	uvig_297309	93.297	22813	40856	1820	0.0
ivig_3021	uvig_297309	92.054	22813	40856	516	0.0
ivig_3021	uvig_297309	88.276	22813	40856	145	1.38e-36
ivig_3021	uvig_297309	84.868	22813	40856	152	2.98e-33
